,Date,NAV
1,2019-05-30,35.05
2,2019-05-29,34.88
3,2019-05-28,34.88
4,2019-05-24,34.88
5,2019-05-23,34.92
6,2019-05-22,35.53
7,2019-05-21,35.53
8,2019-05-20,35.53
9,2019-05-17,35.81
10,2019-05-16,35.82
11,2019-05-15,35.27
12,2019-05-14,35.27
13,2019-05-13,35.98
14,2019-05-10,35.98
15,2019-05-09,35.97
16,2019-05-08,37.56
17,2019-05-07,37.56
18,2019-05-06,37.56
19,2019-05-03,37.56
20,2019-05-02,37.32
21,2019-05-01,38.02
22,2019-04-30,38.02
23,2019-04-29,38.02
24,2019-04-26,38.02
25,2019-04-25,38.02
26,2019-04-24,38.02
27,2019-04-23,38.02
28,2019-04-22,38.02
29,2019-04-18,38.42
30,2019-04-17,38.32
31,2019-04-16,38.30
32,2019-04-15,38.30
33,2019-04-12,38.30
34,2019-04-11,37.92
35,2019-04-10,37.92
36,2019-04-09,37.92
37,2019-04-08,37.98
38,2019-04-05,37.98
39,2019-04-04,37.91
40,2019-04-03,38.02
41,2019-04-02,36.98
42,2019-04-01,36.98
43,2019-03-29,36.98
44,2019-03-28,36.87
45,2019-03-27,36.87
46,2019-03-26,36.93
47,2019-03-25,36.67
48,2019-03-22,37.50
49,2019-03-21,37.50
50,2019-03-20,37.17
51,2019-03-19,37.17
52,2019-03-18,37.17
53,2019-03-15,37.17
54,2019-03-14,37.42
55,2019-03-13,37.19
56,2019-03-12,37.19
57,2019-03-11,36.80
58,2019-03-08,36.41
59,2019-03-07,36.84
60,2019-03-06,37.39
61,2019-03-05,37.40
62,2019-03-04,37.24
63,2019-03-01,37.55
64,2019-02-28,37.65
65,2019-02-27,37.65
66,2019-02-26,37.45
67,2019-02-25,37.25
68,2019-02-22,37.25
69,2019-02-21,37.07
70,2019-02-20,37.28
71,2019-02-19,36.93
72,2019-02-15,36.93
73,2019-02-14,36.58
74,2019-02-13,36.51
75,2019-02-12,36.19
76,2019-02-11,36.09
77,2019-02-08,35.31
78,2019-02-07,36.39
79,2019-02-06,36.39
80,2019-02-05,36.58
81,2019-02-04,36.48
