Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VGK,Vanguard FTSE Europe ETF,Equity,"US$13,419,492,224.00 ",6.81%,"5,964,614",US$51.93 ,0.12%,No,No,0.95%,5.06%,-14.08%,21.71%,9.76%,"(US$267,902,199.02)",US$0.00 ,"(US$175,999,199.02)","(US$3,812,415,404.05)","(US$1,561,713,841.12)","US$1,213,341,266.99 ",Europe Equities,10/3/2005,0.10%,2 Platforms,US$1.92 ,24/12/2018,US$0.31 ,3.70%,13.6,0.86,1093,15.99%,35%,15%,1099,US$49.34 ,US$52.20 ,US$51.76 ,US$52.10 ,59.71,A,A,A+,B,B+,A-,A+,6.9,39.61%,90.88%,146.83,12.17%,5.80%
EZU,iShares MSCI EMU ETF,Equity,"US$6,209,868,451.00 ",6.62%,"7,650,271",US$37.38 ,0.08%,No,No,0.62%,5.12%,-17.28%,22.02%,8.00%,"(US$585,050,744.00)","(US$96,958,836.00)","(US$507,895,864.00)","(US$8,050,823,507.00)","(US$8,819,085,687.00)","(US$1,566,762,687.00)",Europe Equities,25/7/2000,0.47%,N/A,US$1.22 ,18/12/2018,US$0.19 ,3.27%,12.86,0.9,279,21.08%,35%,15%,1099,US$35.36 ,US$37.64 ,US$37.24 ,US$37.52 ,58.66,A-,A+,B-,B,B-,B,A-,7.21,73.44%,95.50%,163.9,16.89%,6.71%
HEDJ,WisdomTree Europe Hedged Equity Fund,Equity,"US$3,912,443,767.00 ",7.14%,"987,906",US$60.47 ,0.30%,No,No,0.63%,5.07%,-5.44%,25.56%,30.73%,"(US$287,289,194.50)","(US$27,039,267.00)","(US$199,552,669.00)","(US$2,787,194,254.50)","(US$13,065,535,006.50)","US$4,894,901,804.50 ",Europe Equities,31/12/2009,0.58%,E*TRADE,US$1.54 ,25/6/2018,US$1.46 ,2.55%,15,0.82,134,38.70%,35%,15%,1099,US$57.01 ,US$60.87 ,US$60.25 ,US$60.65 ,60.23,A-,A,C+,A,B-,B+,B+,7.27,78.55%,96.23%,101.44,19.50%,5.54%
FEZ,SPDR EURO STOXX 50 ETF,Equity,"US$2,415,951,571.00 ",6.19%,"5,151,179",US$35.33 ,0.23%,No,No,1.03%,4.59%,-16.50%,19.54%,3.22%,"(US$71,793,452.00)",US$0.00 ,"(US$38,806,612.00)","(US$1,384,134,418.50)","(US$1,433,320,197.14)","(US$1,770,001,916.11)",Europe Equities,21/10/2002,0.29%,TD Ameritrade,US$1.15 ,21/12/2018,US$0.12 ,3.25%,13.98,1.04,51,36.38%,35%,15%,1099,US$33.44 ,US$35.43 ,US$35.18 ,US$35.46 ,59.45,A-,A,A,B-,C+,A-,B,7.49,88.76%,98.03%,186.48,19.19%,4.78%
EWG,iShares MSCI Germany ETF,Equity,"US$2,324,788,051.00 ",5.76%,"4,186,877",US$26.81 ,0.07%,No,No,-0.52%,4.08%,-20.90%,18.19%,0.05%,"(US$38,342,055.00)",US$0.00 ,"(US$15,687,084.00)","(US$1,306,562,850.00)","(US$3,949,425,276.00)","(US$3,036,432,276.00)",Europe Equities,12/3/1996,0.47%,TD Ameritrade,US$0.74 ,19/6/2018,US$0.74 ,2.78%,11.5,0.99,80,53.73%,35%,15%,1099,US$25.57 ,US$27.16 ,US$26.69 ,US$26.90 ,55.19,B+,A,B,B+,C+,B-,B,7.06,58.91%,93.45%,124.32,17.01%,9.42%
IEV,iShares Europe ETF,Equity,"US$2,003,105,246.00 ",6.52%,"890,771",US$41.67 ,0.12%,No,No,0.90%,4.72%,-14.02%,19.60%,6.32%,"(US$10,030,908.00)",US$0.00 ,"(US$10,030,908.00)","(US$623,924,751.00)","(US$775,097,825.00)","(US$314,818,325.00)",Europe Equities,25/7/2000,0.60%,Fidelity,US$1.34 ,18/12/2018,US$0.29 ,3.24%,13.71,0.84,426,19.52%,35%,15%,1099,US$39.62 ,US$41.87 ,US$41.53 ,US$41.82 ,59.61,A-,A-,C+,B,A-,B+,A,7.08,60.95%,93.75%,145.13,13.64%,5.83%
EWU,iShares MSCI United Kingdom ETF,Equity,"US$1,948,722,037.00 ",7.67%,"3,232,710",US$31.60 ,0.35%,No,No,2.27%,5.47%,-11.06%,16.41%,-0.18%,"US$91,046,586.00 ",US$0.00 ,"US$91,046,586.00 ","(US$411,503,294.00)","(US$402,754,795.00)","(US$1,258,654,795.00)",Europe Equities,12/3/1996,0.47%,TD Ameritrade,US$1.46 ,18/12/2018,US$0.64 ,4.69%,12.87,0.82,110,46.24%,35%,15%,1099,US$29.76 ,US$31.53 ,US$31.48 ,US$31.70 ,62.07,A-,A,B-,C+,A,A,B+,6.57,19.07%,83.59%,114.81,16.06%,2.71%
EWP,iShares MSCI Spain ETF,Equity,"US$991,897,471.00 ",5.74%,"1,164,866",US$28.36 ,-1.05%,No,No,-1.70%,2.72%,-18.00%,19.76%,-9.97%,"(US$43,705,404.75)","(US$8,629,959.00)","(US$31,636,220.25)","US$213,590,571.00 ","(US$19,360,902.75)","US$552,319,654.50 ",Europe Equities,12/3/1996,0.47%,TD Ameritrade,US$0.99 ,18/12/2018,US$0.52 ,3.45%,12.88,0.84,26,69.75%,35%,15%,1099,US$27.60 ,US$29.00 ,US$28.25 ,US$28.50 ,54.21,B-,A,B,C,C,A-,C+,7.64,93.53%,98.96%,221.17,15.98%,7.49%
EWL,iShares MSCI Switzerland ETF,Equity,"US$857,853,072.00 ",5.30%,"1,245,021",US$33.19 ,-0.39%,No,No,0.42%,3.59%,-8.74%,22.46%,16.85%,"(US$16,449,365.00)",US$0.00 ,"(US$16,449,365.00)","(US$368,008,422.50)","(US$445,632,593.75)","(US$158,646,846.25)",Europe Equities,12/3/1996,0.47%,N/A,US$0.81 ,19/6/2018,US$0.81 ,2.43%,24.48,0.78,44,67.29%,35%,15%,1099,US$32.08 ,US$33.64 ,N/A,N/A,56.99,A-,A-,B,A-,A,B+,B-,6.97,45.18%,91.88%,157.95,3.28%,1.72%
DFE,WisdomTree Europe SmallCap Dividend,Equity,"US$705,787,946.00 ",7.96%,"108,308",US$57.61 ,-0.26%,No,No,0.17%,5.92%,-19.31%,21.45%,16.73%,"(US$30,105,175.50)",US$0.00 ,"(US$14,159,911.50)","(US$322,934,918.00)","(US$248,522,616.00)","(US$93,675,992.00)",Europe Equities,16/6/2006,0.58%,E*TRADE,US$2.65 ,24/12/2018,US$0.33 ,4.60%,14.02,0.81,432,9.54%,35%,15%,1099,US$54.91 ,US$58.43 ,US$57.52 ,US$57.76 ,59.78,A,B+,C+,A-,A,B+,A,5.96,18.13%,64.63%,133.06,5.62%,4.79%
