Month,ACWI,ACWV,ACWX,CGW,CWI,DBEF,DIM,DLS,DOL,DTH,DWM,DWX,EFA,EFAV,EFG,EFV,EWS,EZU,FDT,FGD,GDX,GDXJ,GII,GNR,GUNR,GWX,IDLV,IDV,IEFA,IGF,IOO,IXC,IXG,IXJ,IXP,IXUS,JXI,KXI,LIT,MOO,MXI,NUGT,PDN,PICK,PID,PPH,PSP,PXF,RXI,SCHC,SCHF,SCZ,SDIV,SIL,SMH,SPDW,TAN,TLTD,URA,URTH,VEA,VEU,VSS,VT,VXUS,WOOD
May-19,-0.04493321,-0.00267797,-0.04566596,-0.02940361,-0.04260583,-0.02983219,-0.04704578,-0.04314192,-0.02886861,-0.03513514,-0.03464383,-0.01475155,-0.03615547,-0.00836237,-0.02911281,-0.04563731,-0.08213716,-0.04842314,-0.05736804,-0.04791667,0.01218324,-0.01076015,-0.01001571,-0.06461676,-0.0502621,-0.04499511,0.00091102,-0.04095238,-0.03682856,-0.00886721,-0.04439919,-0.05573968,-0.05210238,-0.00893911,-0.03823929,-0.04352961,-0.00112108,-0.01245927,-0.09284404,-0.04839468,-0.05517774,0.02214765,-0.04881266,-0.05874587,-0.02392638,-0.04604242,-0.03571429,-0.05041003,-0.04983137,-0.04589666,-0.03841349,-0.04489243,-0.04394977,-0.06577852,-0.13626907,-0.03853887,0.02364998,-0.0457843,-0.05311203,-0.04030227,-0.03832335,-0.04295197,-0.04017013,-0.04440308,-0.04428948,-0.13207547
Apr-19,0.02177187,0.00669195,0.01471843,0.02076319,0.01553398,0.02245414,0.00970256,0.01122586,0.01259876,0.00860162,0.01172791,0.01226194,0.01628863,-0.00442294,0.02506394,0.00987903,0.04185661,0.03630785,-0.00615496,0.02113271,-0.04872495,-0.04957874,0.01163938,-0.01321204,-0.00934298,0.00520494,0.00333434,0.01733547,0.0167398,0.01291472,0.02742572,-0.01026694,0.05058861,-0.02741962,0.03769285,0.01359619,0.00650437,0.02031341,-0.04430599,0.02287893,0.00474079,-0.15591398,0.00690562,-0.0380774,0.02176617,-0.03911537,0.04310345,0.0162819,0.04407282,0.01529052,0.01512764,0.01784795,-0.0233463,-0.05959246,0.06700321,0.01317123,0.06313559,0.01200909,-0.05533905,0.02527277,0.01521739,0.01455547,0.01185284,0.02158953,0.01464714,-0.01444154
Mar-19,0.01036269,0.02006384,0.00434122,0.00625,0.00764223,0.00937601,-0.00767141,-0.00783959,0.00324605,0.00323866,0.00257426,0.00741722,0.00371402,0.0139417,0.01321298,-0.00508854,0.00935772,-0.00669068,0.00110477,-0.02058824,0.03317972,0.00922392,0.02244238,0.00889878,0.0126778,-0.00915033,0.01358444,-0.01813554,0.00247443,0.02095672,0.0179833,0.00178359,-0.03103829,-0.0037502,0.02085979,0.00501904,0.02116002,0.0408862,-0.04777927,0.00402576,0.01326595,0.07729995,-0.01191658,0.01735429,0.00697527,-0.01033465,0,-0.01291108,0.01053289,-0.00738689,0.00095908,-0.00416089,-0.01167315,0.01499423,0.01965861,0,-0.0754491,-0.00573582,0.01627339,0.00817532,0,0.00501002,-0.00258621,0.00549677,0.00503486,-0.01351141
Feb-19,0.02585211,0.02539794,0.01776593,0.04470939,0.01879156,0.03369272,0.02153543,0.02266377,0.02357651,0.02143951,0.0217303,0.0194332,0.02569422,0.01678864,0.03172226,0.01955888,0.00170721,0.03049759,0.01085329,0.01541096,-0.01462118,-0.01309379,0.02638687,0.01035803,0.01001252,0.0235136,0.0210295,0.02489355,0.02691194,0.03029591,0.0331627,0.01676829,0.02628164,0.0165996,0.00660066,0.01769912,0.02901655,0.02227723,0.03743501,0.00600454,0.02079639,-0.05680191,0.01659329,0.02546064,0.01937984,0.0272526,0.02513465,0.01767928,0.02344828,0.02539683,0.02402106,0.02254428,-0.01683867,0,0.05632795,0.02249561,0.09683099,0.02529511,-0.01903251,0.03014247,0.02394153,0.01846154,0.02245199,0.02797104,0.01778656,-0.03965621
Jan-19,0.08076084,0.05729489,0.07916766,0.08645161,0.07747355,0.05894962,0.08089409,0.07533677,0.06366864,0.06930423,0.06150194,0.06538572,0.06853051,0.04827794,0.06754986,0.06832298,0.06606335,0.07050731,0.1026694,0.07172414,0.07790974,0.08671283,0.08616423,0.09277079,0.09494324,0.06683345,0.06932351,0.07659725,0.07080292,0.0831643,0.05915493,0.08561873,0.08282155,0.06268977,0.08183435,0.08094693,0.06349206,0.05914448,0.05096012,0.08503521,0.07886931,0.2289504,0.07163531,0.11865672,0.08491228,0.06415646,0.10989011,0.07419269,0.09196199,0.08442004,0.07499116,0.08127413,0.11111111,0.07826778,0.09861237,0.07762211,0.23948909,0.07734106,0.09012876,0.07707911,0.0761724,0.07670267,0.07401542,0.08122217,0.07875692,0.1504363
Dec-18,-0.08395203,-0.0540163,-0.06276524,-0.0560776,-0.06451613,-0.07462687,-0.06171201,-0.07476923,-0.06382979,-0.05566957,-0.06024341,-0.03770988,-0.06579784,-0.03545073,-0.06434571,-0.06434927,-0.04659189,-0.06531592,-0.07715525,-0.07364836,0.09048604,0.12175204,-0.03836982,-0.07521719,-0.06778028,-0.08459016,-0.04603581,-0.06301551,-0.06653089,-0.03669276,-0.087387,-0.12230861,-0.09758807,-0.08481422,-0.06987952,-0.06380324,-0.03289344,-0.07355905,-0.14131127,-0.09334183,-0.06104746,0.252149,-0.07671692,-0.05432878,-0.07114625,-0.11966365,-0.09982014,-0.06550436,-0.08894708,-0.07589711,-0.06774087,-0.07695048,-0.09703947,0.0812446,-0.09648033,-0.06866197,-0.12664783,-0.07132069,-0.08254717,-0.08841886,-0.06928697,-0.06389118,-0.06969429,-0.08477193,-0.06291061,-0.10059824
Nov-18,0.00188351,0.02873632,-0.00383834,0.02399501,-0.00029525,0.00067227,-0.01373036,-0.01180438,-0.00178492,-0.00768836,-0.00427611,0.01458626,-0.00782873,0.01445215,-0.00709801,-0.00768272,0.00089047,-0.01880795,-0.01464992,-0.0059778,-0.02465331,-0.055,0.00681169,-0.0530051,-0.04225796,-0.00757077,0.0130039,-0.00625823,-0.00851934,0.00793651,-0.00369806,-0.03146334,0.01034594,0.04508475,0.01034807,-0.00522428,0.0376931,0.01059063,-0.0029316,-0.01047711,-0.03950339,-0.0885989,-0.00841184,-0.0682202,0.01008742,0.00844979,-0.03102837,-0.0107339,-0.00578991,-0.02476489,-0.0066291,-0.020473,-0.00054945,-0.03842905,-0.01238036,-0.0053267,0.1,-0.01752336,0.02631579,0.00164204,-0.00785208,-0.00271342,-0.01202444,0.0014247,-0.00141157,-0.05565611
Oct-18,-0.07689178,-0.04643392,-0.08247205,-0.07586409,-0.08241455,-0.06792453,-0.08225508,-0.08994334,-0.0673945,-0.06217996,-0.07513791,-0.05764075,-0.08240535,-0.06147427,-0.0956794,-0.07213882,-0.08287758,-0.08874724,-0.12343803,-0.06105006,0.02059621,-0.00256787,-0.04316394,-0.09613418,-0.07499253,-0.1114098,-0.05238541,-0.05823104,-0.08432023,-0.0413561,-0.06415793,-0.1064396,-0.05845351,-0.0691031,-0.06815387,-0.08547009,0.00309853,-0.01374015,-0.08801729,-0.06597651,-0.09874514,0.02167183,-0.10165848,-0.09782951,-0.07456979,-0.05675548,-0.10453809,-0.0774779,-0.10524552,-0.10714286,-0.08670343,-0.0998703,-0.05113337,-0.04082492,-0.12433155,-0.0904325,-0.10873786,-0.09257548,-0.10344828,-0.07473154,-0.08820777,-0.08545349,-0.10209258,-0.08111702,-0.08698913,-0.12149407
Sep-18,0.0116951,0.01460792,0.01678141,0,0.01827383,0.01931123,0.01691729,0.01222318,0.02081545,0.02316314,0.02003112,0.00755532,0.01831668,0.0143743,0.0077225,0.02831325,0.02987013,0.00393798,0.0170778,0.01699834,0.0273285,0.00851852,-0.00869197,0.04855416,0.04390091,0.00874811,0.01038062,0.01892239,0.01476726,-0.00647948,0.01045369,0.03635347,-0.00564972,0.02910534,0.04537105,0.01500426,-0.00675261,0.00630209,0.04014244,0.02637014,0.02561728,0.06876553,0.01244555,0.08239316,0.01568627,0.02107465,0.01151316,0.02190476,0.01162199,0.00665317,0.01877934,0.00211899,0.00579252,0.0187234,-0.02990897,0.01703976,-0.05069124,0.02151218,0.06425703,0.01145717,0.01717967,0.01683168,-0.00289357,0.00712078,0.01428571,-0.02431651
Aug-18,0.00925159,0.01622454,-0.01876955,0.01291838,-0.017716,-0.01264622,-0.0169621,-0.01748496,-0.02436485,-0.02339604,-0.01965602,-0.01986928,-0.01740413,-0.00612387,-0.00187735,-0.03258145,-0.02180294,-0.02589689,-0.0206839,-0.00654129,-0.12142857,-0.12360624,-0.01458637,-0.02695977,-0.01253056,-0.00208831,-0.00588782,-0.01317854,-0.01550509,-0.01295642,0.0147617,-0.02495254,-0.01042454,0.02576191,-0.00036364,-0.01850322,0.00698869,-0.00242131,-0.00254858,0.01972735,-0.02416247,-0.35460302,-0.01150121,-0.06793394,-0.00831202,0.0302085,0.00821018,-0.02328262,0.02767176,-0.01103253,-0.01615854,-0.00880423,-0.00773196,-0.09472511,0.02434116,-0.01339432,-0.03472841,-0.01870592,-0.03358779,0.01438526,-0.01397624,-0.01918649,-0.01544131,0.01216216,-0.0195572,0.03477911
