,Date,NAV
1,2019-05-30,47.54
2,2019-05-29,47.01
3,2019-05-28,47.21
4,2019-05-24,47.46
5,2019-05-23,47.17
6,2019-05-22,48.39
7,2019-05-21,48.58
8,2019-05-20,48.13
9,2019-05-17,48.50
10,2019-05-16,49.13
11,2019-05-15,48.68
12,2019-05-14,48.88
13,2019-05-13,48.21
14,2019-05-10,49.40
15,2019-05-09,49.01
16,2019-05-08,49.56
17,2019-05-07,49.63
18,2019-05-06,50.76
19,2019-05-03,51.12
20,2019-05-02,50.82
21,2019-05-01,51.47
22,2019-04-30,51.78
23,2019-04-29,51.97
24,2019-04-26,51.63
25,2019-04-25,51.47
26,2019-04-24,51.57
27,2019-04-23,52.02
28,2019-04-22,51.79
29,2019-04-18,51.72
30,2019-04-17,52.02
31,2019-04-16,52.05
32,2019-04-15,51.55
33,2019-04-12,51.45
34,2019-04-11,50.84
35,2019-04-10,50.73
36,2019-04-09,50.68
37,2019-04-08,51.24
38,2019-04-05,51.26
39,2019-04-04,51.15
40,2019-04-03,51.06
41,2019-04-02,50.74
42,2019-04-01,50.98
43,2019-03-29,50.04
44,2019-03-28,49.92
45,2019-03-27,49.93
46,2019-03-26,49.85
47,2019-03-25,49.53
48,2019-03-22,49.46
49,2019-03-21,50.77
50,2019-03-20,50.59
51,2019-03-19,50.85
52,2019-03-18,51.13
53,2019-03-15,50.96
54,2019-03-14,50.63
55,2019-03-13,50.54
56,2019-03-12,50.60
57,2019-03-11,50.43
58,2019-03-08,49.96
59,2019-03-07,50.22
60,2019-03-06,51.00
61,2019-03-05,51.13
62,2019-03-04,51.05
63,2019-03-01,51.24
64,2019-02-28,50.94
65,2019-02-27,50.79
66,2019-02-26,51.08
67,2019-02-25,50.94
68,2019-02-22,50.62
69,2019-02-21,50.13
70,2019-02-20,50.42
71,2019-02-19,50.02
72,2019-02-15,49.40
73,2019-02-14,49.01
74,2019-02-13,48.78
75,2019-02-12,48.69
76,2019-02-11,48.03
77,2019-02-08,48.11
78,2019-02-07,48.42
79,2019-02-06,49.62
80,2019-02-05,49.75
81,2019-02-04,49.48
82,2019-02-01,49.13
83,2019-01-31,49.32
84,2019-01-30,49.52
85,2019-01-29,49.16
86,2019-01-28,49.08
87,2019-01-25,49.69
88,2019-01-24,49.16
89,2019-01-23,48.57
90,2019-01-22,49.57
91,2019-01-18,49.57
92,2019-01-17,48.32
93,2019-01-16,48.47
94,2019-01-15,48.52
95,2019-01-14,48.42
96,2019-01-11,48.61
97,2019-01-10,48.93
98,2019-01-09,48.42
99,2019-01-08,48.19
100,2019-01-07,47.92
101,2019-01-04,45.84
102,2019-01-03,45.84
103,2019-01-02,46.02
104,2018-12-31,45.91
105,2018-12-28,45.76
106,2018-12-27,45.41
107,2018-12-26,45.15
108,2018-12-24,43.69
109,2018-12-21,44.13
110,2018-12-20,45.22
111,2018-12-19,45.44
112,2018-12-18,46.10
113,2018-12-17,46.05
114,2018-12-14,46.52
115,2018-12-13,47.34
116,2018-12-12,47.13
117,2018-12-11,46.22
118,2018-12-10,46.34
119,2018-12-07,46.71
120,2018-12-06,47.80
121,2018-12-04,48.26
122,2018-12-03,50.00
123,2018-11-30,49.84
124,2018-11-29,49.97
125,2018-11-28,50.08
126,2018-11-27,49.71
127,2018-11-26,49.75
128,2018-11-23,49.12
129,2018-11-21,49.33
130,2018-11-20,48.77
131,2018-11-19,49.66
132,2018-11-16,50.56
133,2018-11-15,49.80
134,2018-11-14,49.80
135,2018-11-13,49.80
136,2018-11-12,50.11
137,2018-11-09,50.95
138,2018-11-08,51.71
139,2018-11-07,52.38
140,2018-11-06,51.48
141,2018-11-05,51.27
142,2018-11-02,50.86
143,2018-11-01,50.67
144,2018-10-31,49.87
145,2018-10-30,50.10
146,2018-10-29,49.23
147,2018-10-26,49.34
148,2018-10-25,49.71
149,2018-10-24,50.25
150,2018-10-23,50.58
151,2018-10-22,51.80
152,2018-10-19,51.99
153,2018-10-18,52.18
154,2018-10-17,53.41
155,2018-10-16,53.41
156,2018-10-15,52.45
157,2018-10-12,52.65
158,2018-10-11,52.66
159,2018-10-10,53.90
160,2018-10-09,55.37
161,2018-10-08,55.39
162,2018-10-05,55.48
163,2018-10-04,55.80
164,2018-10-03,56.45
165,2018-10-02,56.17
166,2018-10-01,56.54
167,2018-09-28,56.41
168,2018-09-27,56.71
169,2018-09-26,57.09
170,2018-09-25,57.12
171,2018-09-24,57.03
172,2018-09-21,57.29
173,2018-09-20,57.11
174,2018-09-19,56.49
175,2018-09-18,56.38
176,2018-09-17,55.68
177,2018-09-14,55.73
178,2018-09-13,55.47
179,2018-09-12,55.03
180,2018-09-11,54.53
181,2018-09-10,54.55
182,2018-09-07,53.99
183,2018-09-06,54.20
184,2018-09-05,54.00
185,2018-09-04,54.28
186,2018-08-31,55.11
187,2018-08-30,55.30
188,2018-08-29,55.38
189,2018-08-28,55.17
190,2018-08-27,55.31
191,2018-08-24,54.85
192,2018-08-23,54.80
193,2018-08-22,55.06
194,2018-08-21,54.77
195,2018-08-20,54.20
196,2018-08-17,54.03
197,2018-08-16,53.57
198,2018-08-15,53.41
199,2018-08-14,54.42
200,2018-08-13,54.13
201,2018-08-10,55.14
202,2018-08-09,55.55
203,2018-08-08,55.80
204,2018-08-07,56.04
205,2018-08-06,55.58
206,2018-08-03,56.05
207,2018-08-02,56.02
208,2018-08-01,56.25
209,2018-07-31,56.70
210,2018-07-30,56.70
211,2018-07-27,56.61
212,2018-07-26,56.77
213,2018-07-25,55.84
214,2018-07-24,55.84
215,2018-07-23,55.21
216,2018-07-20,55.28
217,2018-07-19,55.00
218,2018-07-18,55.14
219,2018-07-17,55.14
220,2018-07-16,55.14
221,2018-07-13,55.36
222,2018-07-12,55.20
223,2018-07-11,55.35
224,2018-07-10,55.84
225,2018-07-09,55.84
226,2018-07-06,55.10
227,2018-07-05,54.78
228,2018-07-03,54.36
229,2018-07-02,54.31
230,2018-06-29,55.62
231,2018-06-28,54.98
232,2018-06-27,55.22
233,2018-06-26,55.39
234,2018-06-25,55.39
235,2018-06-22,56.24
236,2018-06-21,55.79
237,2018-06-20,56.16
238,2018-06-19,56.04
