,Date,NAV
1,2019-05-30,87.35
2,2019-05-29,86.98
3,2019-05-28,87.39
4,2019-05-24,88.37
5,2019-05-23,87.82
6,2019-05-22,89.09
7,2019-05-21,89.65
8,2019-05-20,88.95
9,2019-05-17,89.40
10,2019-05-16,90.11
11,2019-05-15,89.29
12,2019-05-14,89.12
13,2019-05-13,88.12
14,2019-05-10,90.45
15,2019-05-09,89.82
16,2019-05-08,90.15
17,2019-05-07,90.00
18,2019-05-06,92.05
19,2019-05-03,92.91
20,2019-05-02,91.84
21,2019-05-01,92.28
22,2019-04-30,92.99
23,2019-04-29,92.70
24,2019-04-26,92.21
25,2019-04-25,91.79
26,2019-04-24,92.75
27,2019-04-23,92.94
28,2019-04-22,92.49
29,2019-04-18,92.66
30,2019-04-17,92.05
31,2019-04-16,91.72
32,2019-04-15,91.32
33,2019-04-12,91.55
34,2019-04-11,90.65
35,2019-04-10,90.11
36,2019-04-09,89.98
37,2019-04-08,90.90
38,2019-04-05,91.10
39,2019-04-04,90.92
40,2019-04-03,90.74
41,2019-04-02,90.44
42,2019-04-01,90.42
43,2019-03-29,88.95
44,2019-03-28,88.11
45,2019-03-27,87.94
46,2019-03-26,87.80
47,2019-03-25,87.03
48,2019-03-22,87.15
49,2019-03-21,89.15
50,2019-03-20,88.61
51,2019-03-19,88.67
52,2019-03-18,88.81
53,2019-03-15,88.30
54,2019-03-14,88.05
55,2019-03-13,88.05
56,2019-03-12,87.33
57,2019-03-11,87.91
58,2019-03-08,86.82
59,2019-03-07,87.17
60,2019-03-06,88.22
61,2019-03-05,88.73
62,2019-03-04,89.11
63,2019-03-01,89.18
64,2019-02-28,89.26
65,2019-02-27,89.53
66,2019-02-26,89.63
67,2019-02-25,89.58
68,2019-02-22,89.22
69,2019-02-21,88.68
70,2019-02-20,89.08
71,2019-02-19,88.46
72,2019-02-15,88.28
73,2019-02-14,87.14
74,2019-02-13,86.97
75,2019-02-12,86.78
76,2019-02-11,85.45
77,2019-02-08,85.25
78,2019-02-07,85.49
79,2019-02-06,86.46
80,2019-02-05,86.76
81,2019-02-04,86.07
82,2019-02-01,85.44
83,2019-01-31,85.27
84,2019-01-30,84.88
85,2019-01-29,83.88
86,2019-01-28,83.28
87,2019-01-25,83.89
88,2019-01-24,82.71
89,2019-01-23,82.59
90,2019-01-22,82.39
91,2019-01-18,83.77
92,2019-01-17,82.35
93,2019-01-16,81.58
94,2019-01-15,81.49
95,2019-01-14,81.31
96,2019-01-11,81.35
97,2019-01-10,82.04
98,2019-01-09,81.17
99,2019-01-08,80.53
100,2019-01-07,79.59
101,2019-01-04,79.14
102,2019-01-03,76.21
103,2019-01-02,77.93
104,2018-12-31,77.92
105,2018-12-28,77.26
106,2018-12-27,77.19
107,2018-12-26,76.33
108,2018-12-24,73.93
109,2018-12-21,75.30
110,2018-12-20,76.81
111,2018-12-19,78.10
112,2018-12-18,79.26
113,2018-12-17,78.63
114,2018-12-14,79.73
115,2018-12-13,81.10
116,2018-12-12,81.18
117,2018-12-11,80.18
118,2018-12-10,80.47
119,2018-12-07,80.48
120,2018-12-06,81.81
121,2018-12-04,82.76
122,2018-12-03,86.12
123,2018-11-30,85.06
124,2018-11-29,84.74
125,2018-11-28,84.68
126,2018-11-27,82.98
127,2018-11-26,83.33
128,2018-11-23,82.62
129,2018-11-21,82.77
130,2018-11-20,81.78
131,2018-11-19,83.29
132,2018-11-16,84.34
133,2018-11-15,84.29
134,2018-11-14,83.91
135,2018-11-13,83.99
136,2018-11-12,83.35
137,2018-11-09,84.67
138,2018-11-08,85.47
139,2018-11-07,86.10
140,2018-11-06,85.15
141,2018-11-05,84.20
142,2018-11-02,84.33
143,2018-11-01,84.09
144,2018-10-31,83.10
145,2018-10-30,82.25
146,2018-10-29,80.90
147,2018-10-26,81.79
148,2018-10-25,82.50
149,2018-10-24,81.64
150,2018-10-23,84.33
151,2018-10-22,85.43
152,2018-10-19,85.96
153,2018-10-18,86.34
154,2018-10-17,87.82
155,2018-10-16,88.37
156,2018-10-15,86.92
157,2018-10-12,86.92
158,2018-10-11,87.16
159,2018-10-10,88.18
160,2018-10-09,91.17
161,2018-10-08,92.13
162,2018-10-05,92.12
163,2018-10-04,92.68
164,2018-10-03,93.04
165,2018-10-02,93.04
166,2018-10-01,93.43
167,2018-09-28,92.94
168,2018-09-27,93.25
169,2018-09-26,93.45
170,2018-09-25,93.45
171,2018-09-24,93.32
172,2018-09-21,94.39
173,2018-09-20,94.29
174,2018-09-19,93.64
175,2018-09-18,93.58
176,2018-09-17,92.66
177,2018-09-14,92.51
178,2018-09-13,92.01
179,2018-09-12,91.61
180,2018-09-11,91.29
181,2018-09-10,91.10
182,2018-09-07,90.44
183,2018-09-06,90.98
184,2018-09-05,90.65
185,2018-09-04,90.68
186,2018-08-31,91.37
187,2018-08-30,91.27
188,2018-08-29,92.13
189,2018-08-28,91.91
190,2018-08-27,92.04
191,2018-08-24,90.65
192,2018-08-23,90.26
193,2018-08-22,90.80
194,2018-08-21,91.00
195,2018-08-20,90.31
196,2018-08-17,89.97
197,2018-08-16,89.32
198,2018-08-15,88.58
199,2018-08-14,89.41
200,2018-08-13,88.89
201,2018-08-10,89.11
202,2018-08-09,90.52
203,2018-08-08,90.69
204,2018-08-07,90.96
205,2018-08-06,90.19
206,2018-08-03,90.43
207,2018-08-02,90.44
208,2018-08-01,90.89
209,2018-07-31,91.66
210,2018-07-30,90.64
211,2018-07-27,91.20
212,2018-07-26,91.28
213,2018-07-25,90.69
214,2018-07-24,89.51
215,2018-07-23,89.20
216,2018-07-20,89.62
217,2018-07-19,89.42
218,2018-07-18,89.44
219,2018-07-17,88.94
220,2018-07-16,88.57
221,2018-07-13,88.79
222,2018-07-12,88.19
223,2018-07-11,87.53
224,2018-07-10,88.83
225,2018-07-09,88.67
226,2018-07-06,87.37
227,2018-07-05,86.94
228,2018-07-03,87.14
229,2018-07-02,86.65
230,2018-06-29,87.21
231,2018-06-28,86.78
232,2018-06-27,86.55
233,2018-06-26,87.27
234,2018-06-25,87.16
235,2018-06-22,88.55
236,2018-06-21,87.88
237,2018-06-20,88.72
238,2018-06-19,88.79
239,2018-06-18,90.41
240,2018-06-15,90.86
241,2018-06-14,91.35
242,2018-06-13,91.74
243,2018-06-12,91.73
244,2018-06-11,92.04
245,2018-06-08,91.60
246,2018-06-07,91.60
247,2018-06-06,91.57
248,2018-06-05,90.73
249,2018-06-04,90.78
250,2018-06-01,90.69
251,2018-05-31,89.86
252,2018-05-30,90.71
253,2018-05-29,89.56
254,2018-05-25,91.04
255,2018-05-24,91.17
256,2018-05-23,90.96
257,2018-05-22,91.65
258,2018-05-21,92.25
259,2018-05-18,91.14
260,2018-05-17,90.92
261,2018-05-16,90.52
262,2018-05-15,90.43
263,2018-05-14,90.78
264,2018-05-11,91.01
265,2018-05-10,90.73
266,2018-05-09,89.97
267,2018-05-08,89.59
268,2018-05-07,89.01
269,2018-05-04,88.70
270,2018-05-03,87.89
271,2018-05-02,87.89
272,2018-05-01,88.36
273,2018-04-30,88.59
274,2018-04-27,89.20
275,2018-04-26,89.27
276,2018-04-25,89.18
277,2018-04-24,89.39
